s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-6.0304670E-002, 2.0297864E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0304650E-002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 3.1980106E-001, 7.4051810E+000,-1.5557397E-001, 6.1489038E-002, 2.3786871E-002, 2.0466297E-002, 0.0000000E+000, 0.0000000E+000, 3.9107903E+000, 7.3553492E+000, 0.0000000E+000, 6.9511424E-004, 0.0000000E+000
 6.2513548E-001, 7.0178981E+001,-1.4491494E+001, 3.8680551E-001,-3.0824802E-001, 1.2807461E-001, 0.0000000E+000, 0.0000000E+000, 3.7798029E+001, 5.5894119E+001, 0.0000000E+000, 1.5673128E-003, 0.0000000E+000
 9.0753406E-001, 1.0487801E+002,-9.2525648E+000, 8.0179063E-001,-2.8555755E-001, 3.6481224E-001, 0.0000000E+000, 0.0000000E+000, 8.8562198E+001, 9.6506487E+001, 0.0000000E+000, 2.1757695E-003, 0.0000000E+000
 1.2126492E+000, 1.2576385E+002,-1.0148758E+001, 1.1921708E+000,-2.1796160E-001, 5.0942558E-001, 0.0000000E+000, 0.0000000E+000, 1.1960518E+002, 1.1709872E+002, 0.0000000E+000, 2.6198060E-003, 0.0000000E+000
 1.5018798E+000, 1.2879726E+002,-1.6271821E+001, 1.6612585E+000,-2.5872068E-001, 6.2274808E-001, 0.0000000E+000, 0.0000000E+000, 1.1590653E+002, 1.1455073E+002, 0.0000000E+000, 2.9184046E-003, 0.0000000E+000
 1.8009273E+000, 1.4739735E+002,-2.3795802E+001, 2.4670202E+000,-1.7137849E+000, 7.0888610E-001, 0.0000000E+000, 0.0000000E+000, 1.2578985E+002, 1.2506367E+002, 0.0000000E+000, 3.0960104E-003, 0.0000000E+000
 2.1092432E+000, 1.5200848E+002,-2.6094754E+001, 3.3455254E+000,-3.7413423E+000, 7.6284332E-001, 0.0000000E+000, 0.0000000E+000, 1.2629357E+002, 1.2628075E+002, 0.0000000E+000, 3.2019548E-003, 0.0000000E+000
 2.4028335E+000, 1.6044087E+002,-2.6833778E+001, 4.0071302E+000,-5.2274240E+000, 7.9156369E-001, 0.0000000E+000, 0.0000000E+000, 1.3182531E+002, 1.3317836E+002, 0.0000000E+000, 3.2609359E-003, 0.0000000E+000
 2.7014856E+000, 1.5296025E+002,-2.1165618E+001, 4.2634621E+000,-6.1983307E+000, 8.0389945E-001, 0.0000000E+000, 0.0000000E+000, 1.2999165E+002, 1.3066367E+002, 0.0000000E+000, 3.2931928E-003, 0.0000000E+000
 3.0007792E+000, 1.5814695E+002,-2.4684873E+001, 4.0246939E+000,-7.2193888E+000, 8.1470025E-001, 0.0000000E+000, 0.0000000E+000, 1.3154257E+002, 1.3108208E+002, 0.0000000E+000, 3.3113246E-003, 0.0000000E+000
 3.3071902E+000, 1.5795179E+002,-2.5447531E+001, 3.3760321E+000,-8.3848752E+000, 8.2535042E-001, 0.0000000E+000, 0.0000000E+000, 1.2792751E+002, 1.2832077E+002, 0.0000000E+000, 3.3214039E-003, 0.0000000E+000
 3.6037171E+000, 1.6307108E+002,-2.3451874E+001, 2.6627375E+000,-9.0665686E+000, 8.5449548E-001, 0.0000000E+000, 0.0000000E+000, 1.3425136E+002, 1.3406987E+002, 0.0000000E+000, 3.3269253E-003, 0.0000000E+000
 3.9002438E+000, 1.6466865E+002,-2.1416161E+001, 2.2983129E+000,-9.6809371E+000, 8.6405783E-001, 0.0000000E+000, 0.0000000E+000, 1.3772793E+002, 1.3673392E+002, 0.0000000E+000, 3.3299079E-003, 0.0000000E+000
 4.2066550E+000, 1.5776979E+002,-1.8409325E+001, 2.4441351E+000,-1.0336136E+001, 8.3936720E-001, 0.0000000E+000, 0.0000000E+000, 1.3270490E+002, 1.3230783E+002, 0.0000000E+000, 3.3315754E-003, 0.0000000E+000
 4.5031819E+000, 1.6754544E+002,-2.0656337E+001, 3.0096440E+000,-1.0459841E+001, 8.6707191E-001, 0.0000000E+000, 0.0000000E+000, 1.4026149E+002, 1.4030597E+002, 0.0000000E+000, 3.3324913E-003, 0.0000000E+000
