,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-11-22T12:26:20.282+01:00,   0.107E+00,   0.10660,   0.568E+01
      2,2022-11-22T12:26:20.407+01:00,   0.107E+00,   0.21320,   0.581E+01
      3,2022-11-22T12:26:20.544+01:00,   0.107E+00,   0.31980,   0.594E+01
      4,2022-11-22T12:26:20.688+01:00,   0.107E+00,   0.42640,   0.609E+01
      5,2022-11-22T12:26:20.824+01:00,   0.720E-01,   0.49837,   0.622E+01
      6,2022-11-22T12:26:20.991+01:00,   0.720E-01,   0.57034,   0.639E+01
      7,2022-11-22T12:26:21.139+01:00,   0.548E-01,   0.62514,   0.654E+01
      8,2022-11-22T12:26:21.270+01:00,   0.439E-01,   0.66900,   0.667E+01
      9,2022-11-22T12:26:21.426+01:00,   0.439E-01,   0.71287,   0.682E+01
     10,2022-11-22T12:26:21.522+01:00,   0.439E-01,   0.75673,   0.692E+01
     20,2022-11-22T12:26:22.861+01:00,   0.133E-01,   0.97066,   0.826E+01
     30,2022-11-22T12:26:24.088+01:00,   0.118E-01,   1.09280,   0.949E+01
     40,2022-11-22T12:26:25.213+01:00,   0.129E-01,   1.21265,   0.106E+02
     50,2022-11-22T12:26:26.321+01:00,   0.959E-02,   1.31609,   0.117E+02
     60,2022-11-22T12:26:27.514+01:00,   0.853E-02,   1.40459,   0.129E+02
     70,2022-11-22T12:26:28.674+01:00,   0.939E-02,   1.49249,   0.141E+02
     80,2022-11-22T12:26:29.823+01:00,   0.939E-02,   1.58637,   0.152E+02
     90,2022-11-22T12:26:31.020+01:00,   0.798E-02,   1.67742,   0.164E+02
    100,2022-11-22T12:26:32.232+01:00,   0.837E-02,   1.76411,   0.176E+02
    200,2022-11-22T12:26:44.280+01:00,   0.111E-01,   2.77944,   0.297E+02
    300,2022-11-22T12:26:56.354+01:00,   0.988E-02,   3.78163,   0.417E+02
    400,2022-11-22T12:27:08.340+01:00,   0.960E-02,   4.75132,   0.537E+02
    500,2022-11-22T12:27:20.316+01:00,   0.100E-01,   5.88507,   0.657E+02
