s,C,C,C
Time,"Temp_Door_Low","Temp_Door_Mid","Temp_Door_High"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001, 2.0000000E+001
 1.0321017E+000, 2.0006740E+001, 2.0002083E+001, 2.0000732E+001
 2.0070124E+000, 2.0056748E+001, 2.0034419E+001, 2.0017540E+001
 3.0143925E+000, 2.0128397E+001, 2.0097146E+001, 2.0058867E+001
 4.0055246E+000, 2.0228328E+001, 2.0182913E+001, 2.4141897E+001
 5.0059245E+000, 2.0345306E+001, 2.1280161E+001, 2.6174922E+001
 6.0082547E+000, 2.0452445E+001, 2.3906320E+001, 4.2100682E+001
 7.0070200E+000, 2.0554236E+001, 2.3089219E+001, 4.6162179E+001
 8.0077060E+000, 2.0641328E+001, 2.6070892E+001, 5.0981132E+001
 9.0011222E+000, 2.0649542E+001, 3.4821282E+001, 4.9466512E+001
 1.0006980E+001, 2.0435618E+001, 3.3385419E+001, 5.4715172E+001
 1.1001199E+001, 2.0253051E+001, 3.3017773E+001, 6.0117553E+001
 1.2014266E+001, 2.0218293E+001, 3.5666146E+001, 6.6237340E+001
 1.3012441E+001, 2.0209079E+001, 3.1223544E+001, 6.2243919E+001
 1.4009870E+001, 2.0221982E+001, 2.9652687E+001, 6.3950609E+001
 1.5013073E+001, 2.0284340E+001, 4.1159378E+001, 6.7801258E+001
 1.6014018E+001, 2.0261314E+001, 4.2637083E+001, 7.2520975E+001
 1.7011679E+001, 2.0225715E+001, 4.0131166E+001, 7.3914252E+001
 1.8000494E+001, 2.0187697E+001, 3.7344988E+001, 7.4405685E+001
 1.9002285E+001, 2.0164044E+001, 4.5204618E+001, 7.4679418E+001
 2.0001711E+001, 2.0146160E+001, 5.1519650E+001, 8.1178194E+001
 2.1007410E+001, 2.0129132E+001, 5.6618388E+001, 7.9953526E+001
 2.2017147E+001, 2.0122344E+001, 5.2839253E+001, 8.7717950E+001
 2.3010975E+001, 2.0119001E+001, 5.5320343E+001, 8.3906586E+001
 2.4012693E+001, 2.0121079E+001, 5.4959772E+001, 8.3633196E+001
 2.5021108E+001, 2.0119886E+001, 6.1720890E+001, 8.3114429E+001
 2.6018622E+001, 2.0107692E+001, 6.1315019E+001, 8.3667936E+001
 2.7005712E+001, 2.0104045E+001, 6.2107933E+001, 8.6080239E+001
 2.8001056E+001, 2.0097567E+001, 4.9808931E+001, 8.7278029E+001
 2.9020518E+001, 2.0099550E+001, 6.0350221E+001, 8.7709462E+001
 3.0018084E+001, 2.0097908E+001, 6.7221266E+001, 8.6355027E+001
 3.1011936E+001, 2.0096571E+001, 5.0832589E+001, 8.6383945E+001
