s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 0.0000000E+000, 0.0000000E+000,-1.0869193E-004, 3.9888424E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0865205E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 1.0321016E+000, 3.2247938E+001,-1.0796169E+001, 3.5569600E-001,-1.7687111E-001,-1.7799586E-003, 0.0000000E+000, 0.0000000E+000, 1.6900796E+001, 2.1628814E+001, 0.0000000E+000, 6.5552902E-004, 0.0000000E+000
 2.0070124E+000, 5.5844157E+001,-1.3819938E+001, 6.9384926E-001,-3.3661393E-001,-3.5579849E-003, 0.0000000E+000, 0.0000000E+000, 4.2188258E+001, 4.2377896E+001, 0.0000000E+000, 1.2404370E-003, 0.0000000E+000
 3.0143926E+000, 6.1854881E+001,-1.5138552E+001, 7.6203178E-001,-1.5223168E+000,-3.8856701E-003, 0.0000000E+000, 0.0000000E+000, 4.5946608E+001, 4.5952158E+001, 0.0000000E+000, 1.3607858E-003, 0.0000000E+000
 4.0055246E+000, 6.2865300E+001,-1.5658281E+001, 7.2845498E-001,-2.6418982E+000,-3.9120403E-003, 0.0000000E+000, 0.0000000E+000, 4.5297699E+001, 4.5289664E+001, 0.0000000E+000, 1.3788525E-003, 0.0000000E+000
 5.0059247E+000, 6.3065723E+001,-1.5595034E+001, 7.5318940E-001,-3.3559350E+000,-3.9493165E-003, 0.0000000E+000, 0.0000000E+000, 4.4865875E+001, 4.4863994E+001, 0.0000000E+000, 1.3813068E-003, 0.0000000E+000
 6.0082545E+000, 6.2994119E+001,-1.5703778E+001, 7.4408909E-001,-3.6491852E+000,-3.9573956E-003, 0.0000000E+000, 0.0000000E+000, 4.4385048E+001, 4.4381287E+001, 0.0000000E+000, 1.3816441E-003, 0.0000000E+000
 7.0070200E+000, 6.2820178E+001,-1.5590734E+001, 7.4433890E-001,-3.9133248E+000,-3.9740325E-003, 0.0000000E+000, 0.0000000E+000, 4.4051687E+001, 4.4056484E+001, 0.0000000E+000, 1.3816897E-003, 0.0000000E+000
 8.0077057E+000, 6.2963451E+001,-1.5863065E+001,-2.7882716E-001,-4.0999798E+000,-3.9876264E-003, 0.0000000E+000, 0.0000000E+000, 4.2748519E+001, 4.2717591E+001, 0.0000000E+000, 1.3816958E-003, 0.0000000E+000
 9.0011225E+000, 6.2937080E+001,-1.5889816E+001,-1.0156477E+000,-4.2657067E+000,-3.9746280E-003, 0.0000000E+000, 0.0000000E+000, 4.1746567E+001, 4.1761935E+001, 0.0000000E+000, 1.3816967E-003, 0.0000000E+000
 1.0006980E+001, 6.3003219E+001,-1.6140039E+001,-1.2413202E+000,-4.5993897E+000,-3.9514461E-003, 0.0000000E+000, 0.0000000E+000, 4.1033150E+001, 4.1018518E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.1001199E+001, 6.3193334E+001,-1.6267253E+001,-4.4083298E+000,-5.3453718E+000,-3.9658033E-003, 0.0000000E+000, 0.0000000E+000, 3.7185467E+001, 3.7168414E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.2014266E+001, 6.2941734E+001,-1.6400979E+001,-6.0950775E+000,-5.9795837E+000,-3.9690961E-003, 0.0000000E+000, 0.0000000E+000, 3.4504761E+001, 3.4462125E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.3012441E+001, 6.2952474E+001,-1.6532948E+001,-6.8618267E+000,-6.4681170E+000,-3.9786830E-003, 0.0000000E+000, 0.0000000E+000, 3.3075793E+001, 3.3085603E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.4009871E+001, 6.3031989E+001,-1.6542007E+001,-6.4965895E+000,-6.4226758E+000,-3.9756813E-003, 0.0000000E+000, 0.0000000E+000, 3.3605595E+001, 3.3566742E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.5013073E+001, 6.2931988E+001,-1.6710661E+001,-9.3172354E+000,-6.4667016E+000,-3.9793445E-003, 0.0000000E+000, 0.0000000E+000, 3.0415181E+001, 3.0433411E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.6014019E+001, 6.2972866E+001,-1.6885712E+001,-7.5362816E+000,-6.7544052E+000,-3.9703425E-003, 0.0000000E+000, 0.0000000E+000, 3.1813349E+001, 3.1792496E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.7011679E+001, 6.2982135E+001,-1.7045992E+001,-1.2002541E+001,-7.0847891E+000,-4.0084983E-003, 0.0000000E+000, 0.0000000E+000, 2.6871300E+001, 2.6844804E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.8000494E+001, 6.3120224E+001,-1.7173393E+001,-1.2387919E+001,-7.4203198E+000,-3.9778900E-003, 0.0000000E+000, 0.0000000E+000, 2.6144382E+001, 2.6134614E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 1.9002285E+001, 6.3382360E+001,-1.7358387E+001,-1.2477433E+001,-7.5375597E+000,-4.0068293E-003, 0.0000000E+000, 0.0000000E+000, 2.5972909E+001, 2.6004974E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 2.0001711E+001, 6.2492721E+001,-1.7365140E+001,-1.1632543E+001,-7.5768490E+000,-3.9758006E-003, 0.0000000E+000, 0.0000000E+000, 2.5956076E+001, 2.5914213E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 2.1007410E+001, 6.3304262E+001,-1.7938171E+001,-1.5414097E+001,-7.7528939E+000,-3.9762014E-003, 0.0000000E+000, 0.0000000E+000, 2.2166617E+001, 2.2195125E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 2.2017147E+001, 6.2850743E+001,-1.7599999E+001,-1.4625289E+001,-7.9693195E+000,-3.9515671E-003, 0.0000000E+000, 0.0000000E+000, 2.2634296E+001, 2.2652184E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 2.3010975E+001, 6.2997783E+001,-1.7678666E+001,-1.5812949E+001,-8.1176619E+000,-3.9461501E-003, 0.0000000E+000, 0.0000000E+000, 2.1426919E+001, 2.1384559E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 2.4012693E+001, 6.2675811E+001,-1.7684701E+001,-1.7085234E+001,-8.2432402E+000,-3.9501413E-003, 0.0000000E+000, 0.0000000E+000, 1.9638399E+001, 1.9658685E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 2.5021109E+001, 6.3418730E+001,-1.8367695E+001,-1.4904792E+001,-8.1515209E+000,-3.9924029E-003, 0.0000000E+000, 0.0000000E+000, 2.1889551E+001, 2.1990730E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 2.6018621E+001, 6.2846995E+001,-1.7933909E+001,-1.8091777E+001,-8.3442302E+000,-3.9202337E-003, 0.0000000E+000, 0.0000000E+000, 1.8569390E+001, 1.8473158E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 2.7005713E+001, 6.2775647E+001,-1.8182303E+001,-1.7855407E+001,-8.6024456E+000,-3.8768895E-003, 0.0000000E+000, 0.0000000E+000, 1.8171089E+001, 1.8131614E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 2.8001055E+001, 6.3174621E+001,-1.8278528E+001,-1.9136400E+001,-8.9241542E+000,-3.8950864E-003, 0.0000000E+000, 0.0000000E+000, 1.6818542E+001, 1.6831644E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 2.9020517E+001, 6.3147671E+001,-1.8483528E+001,-1.8816058E+001,-9.1184911E+000,-3.9510671E-003, 0.0000000E+000, 0.0000000E+000, 1.6677164E+001, 1.6725642E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 3.0018084E+001, 6.2837333E+001,-1.8386476E+001,-1.9891680E+001,-9.1994199E+000,-3.9441679E-003, 0.0000000E+000, 0.0000000E+000, 1.5418141E+001, 1.5355813E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
 3.1011936E+001, 6.3942277E+001,-1.8897625E+001,-1.7291736E+001,-9.4346498E+000,-3.9433257E-003, 0.0000000E+000, 0.0000000E+000, 1.8301734E+001, 1.8314324E+001, 0.0000000E+000, 1.3816968E-003, 0.0000000E+000
