,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-10-26T21:09:37.705+02:00,   0.107E+00,   0.10660,   0.282E+01
      2,2022-10-26T21:09:37.767+02:00,   0.107E+00,   0.21320,   0.288E+01
      3,2022-10-26T21:09:37.843+02:00,   0.107E+00,   0.31980,   0.296E+01
      4,2022-10-26T21:09:37.906+02:00,   0.107E+00,   0.42640,   0.302E+01
      5,2022-10-26T21:09:37.979+02:00,   0.447E-01,   0.47107,   0.309E+01
      6,2022-10-26T21:09:38.061+02:00,   0.491E-01,   0.52020,   0.317E+01
      7,2022-10-26T21:09:38.116+02:00,   0.540E-01,   0.57424,   0.323E+01
      8,2022-10-26T21:09:38.177+02:00,   0.594E-01,   0.63369,   0.329E+01
      9,2022-10-26T21:09:38.254+02:00,   0.654E-01,   0.69908,   0.337E+01
     10,2022-10-26T21:09:38.316+02:00,   0.719E-01,   0.77101,   0.343E+01
     20,2022-10-26T21:09:39.035+02:00,   0.228E-01,   1.13885,   0.415E+01
     30,2022-10-26T21:09:39.690+02:00,   0.194E-01,   1.34663,   0.480E+01
     40,2022-10-26T21:09:40.324+02:00,   0.172E-01,   1.53623,   0.544E+01
     50,2022-10-26T21:09:40.968+02:00,   0.152E-01,   1.69835,   0.608E+01
     60,2022-10-26T21:09:41.637+02:00,   0.152E-01,   1.85072,   0.675E+01
     70,2022-10-26T21:09:42.298+02:00,   0.134E-01,   1.99224,   0.741E+01
     80,2022-10-26T21:09:42.943+02:00,   0.162E-01,   2.15324,   0.806E+01
     90,2022-10-26T21:09:43.609+02:00,   0.162E-01,   2.31573,   0.872E+01
    100,2022-10-26T21:09:44.258+02:00,   0.162E-01,   2.47821,   0.937E+01
    200,2022-10-26T21:09:50.906+02:00,   0.162E-01,   4.10301,   0.160E+02
    300,2022-10-26T21:09:57.703+02:00,   0.156E-01,   5.58611,   0.228E+02
    400,2022-10-26T21:10:04.557+02:00,   0.148E-01,   7.12570,   0.297E+02
    500,2022-10-26T21:10:11.390+02:00,   0.174E-01,   8.75790,   0.365E+02
    600,2022-10-26T21:10:18.291+02:00,   0.177E-01,  10.40500,   0.434E+02
    700,2022-10-26T21:10:25.162+02:00,   0.172E-01,  12.13465,   0.503E+02
    800,2022-10-26T21:10:32.069+02:00,   0.156E-01,  13.72374,   0.572E+02
    900,2022-10-26T21:10:39.002+02:00,   0.184E-01,  15.41495,   0.641E+02
   1000,2022-10-26T21:10:45.972+02:00,   0.164E-01,  17.11025,   0.711E+02
   1100,2022-10-26T21:10:52.908+02:00,   0.189E-01,  18.92660,   0.780E+02
   1200,2022-10-26T21:10:59.873+02:00,   0.230E-01,  21.00741,   0.850E+02
   1300,2022-10-26T21:11:06.864+02:00,   0.212E-01,  23.05346,   0.920E+02
   1400,2022-10-26T21:11:13.813+02:00,   0.221E-01,  25.33381,   0.989E+02
   1500,2022-10-26T21:11:20.801+02:00,   0.206E-01,  27.48492,   0.106E+03
   1600,2022-10-26T21:11:27.732+02:00,   0.229E-01,  29.65169,   0.113E+03
   1700,2022-10-26T21:11:34.673+02:00,   0.204E-01,  31.81927,   0.120E+03
   1800,2022-10-26T21:11:41.592+02:00,   0.242E-01,  34.09327,   0.127E+03
   1900,2022-10-26T21:11:48.479+02:00,   0.200E-01,  36.46835,   0.134E+03
   2000,2022-10-26T21:11:55.368+02:00,   0.204E-01,  38.52762,   0.140E+03
   2100,2022-10-26T21:12:02.261+02:00,   0.230E-01,  40.71589,   0.147E+03
   2200,2022-10-26T21:12:09.135+02:00,   0.242E-01,  43.04049,   0.154E+03
   2300,2022-10-26T21:12:16.015+02:00,   0.218E-01,  45.30160,   0.161E+03
   2400,2022-10-26T21:12:22.947+02:00,   0.210E-01,  47.55021,   0.168E+03
   2500,2022-10-26T21:12:29.794+02:00,   0.231E-01,  49.82834,   0.175E+03
   2600,2022-10-26T21:12:36.658+02:00,   0.247E-01,  52.16182,   0.182E+03
   2700,2022-10-26T21:12:43.559+02:00,   0.243E-01,  54.64781,   0.189E+03
   2800,2022-10-26T21:12:50.472+02:00,   0.198E-01,  56.99124,   0.196E+03
   2900,2022-10-26T21:13:10.638+02:00,   0.247E-01,  59.21010,   0.202E+03
   3000,2022-10-26T21:13:17.532+02:00,   0.254E-01,  61.59134,   0.209E+03
   3100,2022-10-26T21:13:32.462+02:00,   0.229E-01,  64.00170,   0.216E+03
   3200,2022-10-26T21:13:39.316+02:00,   0.248E-01,  66.29921,   0.223E+03
   3300,2022-10-26T21:13:46.232+02:00,   0.214E-01,  68.66095,   0.230E+03
   3400,2022-10-26T21:13:53.110+02:00,   0.205E-01,  70.82724,   0.237E+03
   3500,2022-10-26T21:13:59.973+02:00,   0.216E-01,  72.96412,   0.244E+03
   3600,2022-10-26T21:14:06.830+02:00,   0.238E-01,  75.24591,   0.251E+03
   3700,2022-10-26T21:14:13.693+02:00,   0.219E-01,  77.39796,   0.257E+03
   3800,2022-10-26T21:14:20.563+02:00,   0.210E-01,  79.71536,   0.264E+03
   3900,2022-10-26T21:14:27.464+02:00,   0.214E-01,  81.93501,   0.271E+03
   4000,2022-10-26T21:14:34.297+02:00,   0.235E-01,  84.17277,   0.278E+03
   4100,2022-10-26T21:14:41.204+02:00,   0.222E-01,  86.40973,   0.285E+03
   4200,2022-10-26T21:14:48.072+02:00,   0.219E-01,  88.58214,   0.292E+03
   4300,2022-10-26T21:14:54.954+02:00,   0.251E-01,  90.90097,   0.299E+03
   4400,2022-10-26T21:15:01.840+02:00,   0.243E-01,  93.31797,   0.306E+03
   4500,2022-10-26T21:15:08.729+02:00,   0.214E-01,  95.45481,   0.312E+03
   4600,2022-10-26T21:15:15.578+02:00,   0.235E-01,  97.78642,   0.319E+03
   4700,2022-10-26T21:15:22.471+02:00,   0.208E-01, 100.03104,   0.326E+03
   4800,2022-10-26T21:15:29.388+02:00,   0.195E-01, 102.19268,   0.333E+03
   4900,2022-10-26T21:15:36.273+02:00,   0.223E-01, 104.23960,   0.340E+03
   5000,2022-10-26T21:15:43.142+02:00,   0.241E-01, 106.49509,   0.347E+03
   5100,2022-10-26T21:15:50.060+02:00,   0.210E-01, 108.76383,   0.354E+03
   5200,2022-10-26T21:15:56.923+02:00,   0.250E-01, 111.14752,   0.361E+03
   5300,2022-10-26T21:16:03.793+02:00,   0.244E-01, 113.51473,   0.368E+03
   5400,2022-10-26T21:16:10.691+02:00,   0.239E-01, 115.74628,   0.374E+03
   5500,2022-10-26T21:16:17.561+02:00,   0.212E-01, 117.88865,   0.381E+03
   5600,2022-10-26T21:16:24.430+02:00,   0.224E-01, 120.14722,   0.388E+03
   5700,2022-10-26T21:16:31.299+02:00,   0.238E-01, 122.48794,   0.395E+03
   5800,2022-10-26T21:16:38.149+02:00,   0.230E-01, 124.67819,   0.402E+03
   5900,2022-10-26T21:16:45.011+02:00,   0.245E-01, 126.98834,   0.409E+03
   6000,2022-10-26T21:16:51.904+02:00,   0.241E-01, 129.30616,   0.416E+03
   6100,2022-10-26T21:16:58.789+02:00,   0.232E-01, 131.48955,   0.423E+03
   6200,2022-10-26T21:17:05.667+02:00,   0.224E-01, 133.76637,   0.429E+03
   6300,2022-10-26T21:17:12.554+02:00,   0.219E-01, 135.94440,   0.436E+03
   6400,2022-10-26T21:17:19.419+02:00,   0.238E-01, 138.22908,   0.443E+03
   6500,2022-10-26T21:17:26.320+02:00,   0.215E-01, 140.44340,   0.450E+03
   6600,2022-10-26T21:17:33.209+02:00,   0.209E-01, 142.65186,   0.457E+03
   6700,2022-10-26T21:17:40.056+02:00,   0.230E-01, 144.82041,   0.464E+03
   6800,2022-10-26T21:17:46.926+02:00,   0.225E-01, 147.07084,   0.471E+03
   6900,2022-10-26T21:17:53.802+02:00,   0.220E-01, 149.30461,   0.478E+03
   7000,2022-10-26T21:18:00.675+02:00,   0.205E-01, 151.51642,   0.484E+03
   7100,2022-10-26T21:18:07.526+02:00,   0.245E-01, 153.65913,   0.491E+03
   7200,2022-10-26T21:18:14.430+02:00,   0.235E-01, 156.03348,   0.498E+03
   7300,2022-10-26T21:18:21.315+02:00,   0.221E-01, 158.20003,   0.505E+03
   7400,2022-10-26T21:18:28.182+02:00,   0.212E-01, 160.44217,   0.512E+03
   7500,2022-10-26T21:18:35.083+02:00,   0.219E-01, 162.54279,   0.519E+03
   7600,2022-10-26T21:18:41.946+02:00,   0.236E-01, 164.79911,   0.526E+03
   7700,2022-10-26T21:18:48.840+02:00,   0.216E-01, 166.88351,   0.533E+03
   7800,2022-10-26T21:18:55.736+02:00,   0.235E-01, 169.12923,   0.539E+03
   7900,2022-10-26T21:19:02.608+02:00,   0.231E-01, 171.36896,   0.546E+03
   8000,2022-10-26T21:19:09.508+02:00,   0.218E-01, 173.51612,   0.553E+03
   8100,2022-10-26T21:19:16.431+02:00,   0.227E-01, 175.82492,   0.560E+03
   8200,2022-10-26T21:19:23.305+02:00,   0.235E-01, 178.01669,   0.567E+03
   8300,2022-10-26T21:19:30.165+02:00,   0.204E-01, 180.29490,   0.574E+03
   8400,2022-10-26T21:19:37.063+02:00,   0.215E-01, 182.49560,   0.581E+03
   8500,2022-10-26T21:19:43.905+02:00,   0.216E-01, 184.56618,   0.588E+03
   8600,2022-10-26T21:19:50.760+02:00,   0.231E-01, 186.78027,   0.595E+03
   8700,2022-10-26T21:19:57.636+02:00,   0.217E-01, 189.04446,   0.601E+03
   8800,2022-10-26T21:20:04.492+02:00,   0.239E-01, 191.36209,   0.608E+03
   8900,2022-10-26T21:20:11.354+02:00,   0.214E-01, 193.57050,   0.615E+03
   9000,2022-10-26T21:20:18.244+02:00,   0.230E-01, 195.72113,   0.622E+03
   9100,2022-10-26T21:20:25.109+02:00,   0.231E-01, 197.98771,   0.629E+03
   9200,2022-10-26T21:20:31.990+02:00,   0.228E-01, 200.32591,   0.636E+03
   9300,2022-10-26T21:20:38.899+02:00,   0.219E-01, 202.56629,   0.643E+03
   9400,2022-10-26T21:20:45.793+02:00,   0.232E-01, 204.72289,   0.650E+03
   9500,2022-10-26T21:20:52.652+02:00,   0.229E-01, 206.92147,   0.656E+03
   9600,2022-10-26T21:20:59.561+02:00,   0.198E-01, 209.08419,   0.663E+03
   9700,2022-10-26T21:21:06.395+02:00,   0.215E-01, 211.27776,   0.670E+03
   9800,2022-10-26T21:21:13.251+02:00,   0.224E-01, 213.36214,   0.677E+03
   9900,2022-10-26T21:21:20.154+02:00,   0.196E-01, 215.64965,   0.684E+03
  10000,2022-10-26T21:21:26.999+02:00,   0.237E-01, 217.81805,   0.691E+03
  10100,2022-10-26T21:21:33.919+02:00,   0.196E-01, 220.02268,   0.698E+03
  10200,2022-10-26T21:21:40.800+02:00,   0.233E-01, 222.18663,   0.705E+03
  10300,2022-10-26T21:21:47.693+02:00,   0.223E-01, 224.43407,   0.711E+03
  10400,2022-10-26T21:21:54.569+02:00,   0.211E-01, 226.70197,   0.718E+03
  10500,2022-10-26T21:22:01.497+02:00,   0.222E-01, 228.83542,   0.725E+03
  10600,2022-10-26T21:22:08.379+02:00,   0.192E-01, 231.03018,   0.732E+03
  10700,2022-10-26T21:22:15.245+02:00,   0.188E-01, 233.05999,   0.739E+03
